 TTY,NAME,RXCUI,TTY,PARENT NDC FROM CDC,PARENT RXCUI,STRING MATCH
SBD,Hydrocodone Bitartrate 10 MG / Ibuprofen 200 MG Oral Tablet [Xylon],1542988,SBD,53746011701,859315,HYDROCODONE
SBDC,Hydrocodone Bitartrate 10 MG / Ibuprofen 200 MG [Ibudone],859316,SBDC,53746011701,859315,HYDROCODONE
SBDC,Hydrocodone Bitartrate 10 MG / Ibuprofen 200 MG [Reprexain],859330,SBDC,53746011701,859315,HYDROCODONE
SBDC,Hydrocodone Bitartrate 10 MG / Ibuprofen 200 MG [Xylon],1542984,SBDC,53746011701,859315,HYDROCODONE
SBDF,Hydrocodone / Ibuprofen Oral Tablet [Reprexain],724134,SBDF,53746011701,859315,HYDROCODONE
SBDF,Hydrocodone / Ibuprofen Oral Tablet [Ibudone],758973,SBDF,53746011701,859315,HYDROCODONE
SBDF,Hydrocodone / Ibuprofen Oral Tablet [Xylon],1542985,SBDF,53746011701,859315,HYDROCODONE
SCD,Hydrocodone Bitartrate 10 MG / Ibuprofen 200 MG Oral Tablet,859315,SCD,53746011701,859315,HYDROCODONE
SCDF,Hydrocodone / Ibuprofen Oral Tablet,370676,SCDF,53746011701,859315,HYDROCODONE
SCDG,Hydrocodone / Ibuprofen Oral Product,1162788,SCDG,53746011701,859315,HYDROCODONE
SCDG,Hydrocodone / Ibuprofen Pill,1162789,SCDG,53746011701,859315,HYDROCODONE
SBDG,Ibudone Oral Product,1166579,SBDG,53746011701,859315,
SBDG,Ibudone Pill,1166582,SBDG,53746011701,859315,
SBDG,Reprexain Oral Product,1181342,SBDG,53746011701,859315,
SBDG,Reprexain Pill,1181345,SBDG,53746011701,859315,
SBDG,Xylon Oral Product,1542986,SBDG,53746011701,859315,
SBDG,Xylon Pill,1542987,SBDG,53746011701,859315,
BN,Reprexain,579458,BN,53746011601,858770,
BPCK,,,,53746011601,858770,
GPCK,,,,53746011601,858770,
MIN,Hydrocodone / Ibuprofen,214627,MIN,53746011601,858770,HYDROCODONE
PIN,Hydrocodone Bitartrate,142439,PIN,53746011601,858770,HYDROCODONE
SBD,Hydrocodone Bitartrate 2.5 MG / Ibuprofen 200 MG Oral Tablet [Reprexain],858772,SBD,53746011601,858770,HYDROCODONE
SBDC,Hydrocodone Bitartrate 2.5 MG / Ibuprofen 200 MG [Reprexain],858771,SBDC,53746011601,858770,HYDROCODONE
SBDF,Hydrocodone / Ibuprofen Oral Tablet [Reprexain],724134,SBDF,53746011601,858770,HYDROCODONE
SCD,Hydrocodone Bitartrate 2.5 MG / Ibuprofen 200 MG Oral Tablet,858770,SCD,53746011601,858770,HYDROCODONE
SCDF,Hydrocodone / Ibuprofen Oral Tablet,370676,SCDF,53746011601,858770,HYDROCODONE
SCDG,Hydrocodone / Ibuprofen Oral Product,1162788,SCDG,53746011601,858770,HYDROCODONE
SCDG,Hydrocodone / Ibuprofen Pill,1162789,SCDG,53746011601,858770,HYDROCODONE
SBDG,Reprexain Oral Product,1181342,SBDG,53746011601,858770,
SBDG,Reprexain Pill,1181345,SBDG,53746011601,858770,
BN,,,,60505081301,886634,
BPCK,,,,60505081301,886634,
GPCK,,,,60505081301,886634,
MIN,,,,60505081301,886634,
PIN,Butorphanol Tartrate,203170,PIN,60505081301,886634,
SBD,,,,60505081301,886634,
SBDC,,,,60505081301,886634,
SBDF,,,,60505081301,886634,
SCD,Butorphanol Tartrate 10 MG/ML Nasal Spray,886634,SCD,60505081301,886634,
SCDF,Butorphanol Nasal Spray,374603,SCDF,60505081301,886634,
SCDG,Butorphanol Inhalant Product,1151378,SCDG,60505081301,886634,
SCDG,Butorphanol Nasal Product,1151380,SCDG,60505081301,886634,
SBDG,,,,60505081301,886634,
BN,Duragesic,151678,BN,781724255,245135,
BPCK,,,,781724255,245135,
GPCK,,,,781724255,245135,
MIN,,,,781724255,245135,
PIN,,,,781724255,245135,
SBD,72 HR Fentanyl 0.05 MG/HR Transdermal System [Duragesic],261185,SBD,781724255,245135,FENTANYL
SBDC,Fentanyl 0.05 MG/HR [Duragesic],574419,SBDC,781724255,245135,FENTANYL
SBDF,Fentanyl Transdermal System [Duragesic],1806275,SBDF,781724255,245135,FENTANYL
SCD,72 HR Fentanyl 0.05 MG/HR Transdermal System,245135,SCD,781724255,245135,FENTANYL
SCDF,Fentanyl Transdermal System,1806273,SCDF,781724255,245135,FENTANYL
SCDG,Fentanyl Topical Product,1159060,SCDG,781724255,245135,FENTANYL
SCDG,Fentanyl Transdermal Product,1294794,SCDG,781724255,245135,FENTANYL
SBDG,Duragesic Topical Product,1168205,SBDG,781724255,245135,
SBDG,Duragesic Transdermal Product,1296815,SBDG,781724255,245135,
BN,Actiq,215008,BN,55253007330,313993,
BPCK,,,,55253007330,313993,
GPCK,,,,55253007330,313993,
MIN,,,,55253007330,313993,
PIN,,,,55253007330,313993,
SBD,Fentanyl 0.8 MG Oral Lozenge [Actiq],261108,SBD,55253007330,313993,FENTANYL
SBDC,Fentanyl 0.8 MG [Actiq],574355,SBDC,55253007330,313993,FENTANYL
SBDF,Fentanyl Oral Lozenge [Actiq],367214,SBDF,55253007330,313993,FENTANYL
SCD,Fentanyl 0.8 MG Oral Lozenge,313993,SCD,55253007330,313993,FENTANYL
SCDF,Fentanyl Oral Lozenge,372161,SCDF,55253007330,313993,FENTANYL
SCDG,Fentanyl Oral Product,1159058,SCDG,55253007330,313993,FENTANYL
SCDG,Fentanyl Lozenge Product,1294774,SCDG,55253007330,313993,FENTANYL
SBDG,Actiq Oral Product,1169909,SBDG,55253007330,313993,
SBDG,Actiq Lozenge Product,1295970,SBDG,55253007330,313993,
,,,,574711050,,
BN,,,,54043825,197873,
BPCK,,,,54043825,197873,
GPCK,,,,54043825,197873,
MIN,,,,54043825,197873,
PIN,,,,54043825,197873,
SBD,,,,54043825,197873,
SBDC,,,,54043825,197873,
SBDF,,,,54043825,197873,
SCD,Levorphanol 2 MG Oral Tablet,197873,SCD,54043825,197873,
SCDF,Levorphanol Oral Tablet,372593,SCDF,54043825,197873,
SCDG,Levorphanol Oral Product,1163480,SCDG,54043825,197873,
SCDG,Levorphanol Pill,1163481,SCDG,54043825,197873,
SBDG,,,,54043825,197873,
BN,,,,66689071216,864769,
BPCK,,,,66689071216,864769,
GPCK,,,,66689071216,864769,
MIN,,,,66689071216,864769,
PIN,Methadone Hydrochloride,218337,PIN,66689071216,864769,
SBD,,,,66689071216,864769,
SBDC,,,,66689071216,864769,
SBDF,,,,66689071216,864769,
SCD,Methadone Hydrochloride 2 MG/ML Oral Solution,864769,SCD,66689071216,864769,
SCDF,Methadone Oral Solution,372806,SCDF,66689071216,864769,
SCDG,Methadone Oral Liquid Product,1161620,SCDG,66689071216,864769,
SCDG,Methadone Oral Product,1161621,SCDG,66689071216,864769,
SBDG,,,,66689071216,864769,
,,,,54035244,,
,,,,555038104,,
,,,,66336017190,,
BN,Dilaudid,224913,BN,54868459806,897710,
BPCK,,,,54868459806,897710,
GPCK,,,,54868459806,897710,
MIN,,,,54868459806,897710,
PIN,Hydromorphone Hydrochloride,203177,PIN,54868459806,897710,
SBD,Hydromorphone Hydrochloride 8 MG Oral Tablet [Dilaudid],897712,SBD,54868459806,897710,
SBDC,Hydromorphone Hydrochloride 8 MG [Dilaudid],897711,SBDC,54868459806,897710,
SBDF,Hydromorphone Oral Tablet [Dilaudid],368895,SBDF,54868459806,897710,
SCD,Hydromorphone Hydrochloride 8 MG Oral Tablet,897710,SCD,54868459806,897710,
SCDF,Hydromorphone Oral Tablet,370654,SCDF,54868459806,897710,
SCDG,Hydromorphone Oral Product,1164620,SCDG,54868459806,897710,
SCDG,Hydromorphone Pill,1164621,SCDG,54868459806,897710,
SBDG,Dilaudid Oral Product,1168870,SBDG,54868459806,897710,
SBDG,Dilaudid Pill,1168871,SBDG,54868459806,897710,
,,,,55175199201,,
BN,,,,62559015116,1049604,
BPCK,,,,62559015116,1049604,
GPCK,,,,62559015116,1049604,
MIN,,,,62559015116,1049604,
PIN,Oxycodone Hydrochloride,82063,PIN,62559015116,1049604,OXYMORPHONE
SBD,,,,62559015116,1049604,
SBDC,,,,62559015116,1049604,
SBDF,,,,62559015116,1049604,
SCD,Oxycodone Hydrochloride 1 MG/ML Oral Solution,1049604,SCD,62559015116,1049604,OXYCODONE
SCDF,Oxycodone Oral Solution,373196,SCDF,62559015116,1049604,OXYCODONE
SCDG,Oxycodone Oral Liquid Product,1161681,SCDG,62559015116,1049604,OXYCODONE
SCDG,Oxycodone Oral Product,1161682,SCDG,62559015116,1049604,OXYCODONE
SBDG,,,,62559015116,1049604,
,,,,2100902,,
,,,,55437011450,,
BN,MS Contin,203354,BN,63629397902,891888,
BPCK,,,,63629397902,891888,
GPCK,,,,63629397902,891888,
MIN,,,,63629397902,891888,
PIN,Morphine Sulfate,30236,PIN,63629397902,891888,MORPHINE
SBD,Morphine Sulfate 30 MG Extended Release Oral Tablet [MS Contin],892660,SBD,63629397902,891888,MORPHINE
SBDC,Morphine Sulfate 30 MG [MS Contin],892659,SBDC,63629397902,891888,MORPHINE
SBDF,Morphine Extended Release Oral Tablet [MS Contin],369896,SBDF,63629397902,891888,MORPHINE
SCD,Morphine Sulfate 30 MG Extended Release Oral Tablet,891888,SCD,63629397902,891888,MORPHINE
SCDF,Morphine Extended Release Oral Tablet,372960,SCDF,63629397902,891888,MORPHINE
SCDG,Morphine Oral Product,1156363,SCDG,63629397902,891888,MORPHINE
SCDG,Morphine Pill,1156364,SCDG,63629397902,891888,MORPHINE
SBDG,MS Contin Oral Product,1184943,SBDG,63629397902,891888,
SBDG,MS Contin Pill,1184944,SBDG,63629397902,891888,
BN,Ultram,220606,BN,60760037792,835603,
BPCK,,,,60760037792,835603,
GPCK,,,,60760037792,835603,
MIN,,,,60760037792,835603,
PIN,tramadol hydrochloride,82110,PIN,60760037792,835603,
SBD,tramadol hydrochloride 50 MG Oral Tablet [Ultram],835605,SBD,60760037792,835603,
SBDC,tramadol hydrochloride 50 MG [Ultram],835604,SBDC,60760037792,835603,
SBDF,Tramadol Oral Tablet [Ultram],369283,SBDF,60760037792,835603,
SCD,tramadol hydrochloride 50 MG Oral Tablet,835603,SCD,60760037792,835603,
SCDF,Tramadol Oral Tablet,374173,SCDF,60760037792,835603,
SCDG,Tramadol Oral Product,1157662,SCDG,60760037792,835603,
SCDG,Tramadol Pill,1157663,SCDG,60760037792,835603,
SBDG,Ultram Oral Product,1187716,SBDG,60760037792,835603,
SBDG,Ultram Pill,1187717,SBDG,60760037792,835603,
,,,,55887091830,,
BN,Actiq,215008,BN,406921230,310293,
BPCK,,,,406921230,310293,
GPCK,,,,406921230,310293,
MIN,,,,406921230,310293,
PIN,,,,406921230,310293,
SBD,Fentanyl 1.2 MG Oral Lozenge [Actiq],261109,SBD,406921230,310293,FENTANYL
SBDC,Fentanyl 1.2 MG [Actiq],574356,SBDC,406921230,310293,FENTANYL
SBDF,Fentanyl Oral Lozenge [Actiq],367214,SBDF,406921230,310293,FENTANYL
SCD,Fentanyl 1.2 MG Oral Lozenge,310293,SCD,406921230,310293,FENTANYL
SCDF,Fentanyl Oral Lozenge,372161,SCDF,406921230,310293,FENTANYL
SCDG,Fentanyl Oral Product,1159058,SCDG,406921230,310293,FENTANYL
SCDG,Fentanyl Lozenge Product,1294774,SCDG,406921230,310293,FENTANYL
SBDG,Actiq Oral Product,1169909,SBDG,406921230,310293,
SBDG,Actiq Lozenge Product,1295970,SBDG,406921230,310293,
BN,Roxicodone,219740,BN,54868498004,1049611,
BPCK,,,,54868498004,1049611,
GPCK,,,,54868498004,1049611,
MIN,,,,54868498004,1049611,
PIN,Oxycodone Hydrochloride,82063,PIN,54868498004,1049611,OXYCODONE
SBD,Oxycodone Hydrochloride 15 MG Oral Tablet [Roxicodone],1049613,SBD,54868498004,1049611,OXYCODONE
SBDC,Oxycodone Hydrochloride 15 MG [Roxicodone],1049612,SBDC,54868498004,1049611,OXYCODONE
SBDF,Oxycodone Oral Tablet [Roxicodone],368158,SBDF,54868498004,1049611,OXYCODONE
SCD,Oxycodone Hydrochloride 15 MG Oral Tablet,1049611,SCD,54868498004,1049611,OXYCODONE
SCDF,Oxycodone Oral Tablet,373198,SCDF,54868498004,1049611,OXYCODONE
SCDG,Oxycodone Oral Product,1161682,SCDG,54868498004,1049611,OXYCODONE
SCDG,Oxycodone Pill,1161683,SCDG,54868498004,1049611,OXYCODONE
SBDG,Roxicodone Oral Product,1182579,SBDG,54868498004,1049611,
SBDG,Roxicodone Pill,1182580,SBDG,54868498004,1049611,
BN,Diskets,670009,BN,66689089840,864978,
BN,Methadose,152751,BN,66689089840,864978,
BPCK,,,,66689089840,864978,
GPCK,,,,66689089840,864978,
MIN,,,,66689089840,864978,
PIN,Methadone Hydrochloride,218337,PIN,66689089840,864978,
SBD,Methadone Hydrochloride 40 MG Tablet for Oral Suspension [Diskets],1990745,SBD,66689089840,864978,
SBD,Methadone Hydrochloride 40 MG Tablet for Oral Suspension [Methadose],864980,SBD,66689089840,864978,
SBDC,Methadone Hydrochloride 40 MG [Diskets],1990741,SBDC,66689089840,864978,
SBDC,Methadone Hydrochloride 40 MG [Methadose],1869551,SBDC,66689089840,864978,
SBDF,Methadone Tablet for Oral Suspension [Diskets],1990742,SBDF,66689089840,864978,
SBDF,Methadone Tablet for Oral Suspension [Methadose],1869552,SBDF,66689089840,864978,
SCD,Methadone Hydrochloride 40 MG Tablet for Oral Suspension,864978,SCD,66689089840,864978,
SCDF,Methadone Tablet for Oral Suspension,1869549,SCDF,66689089840,864978,
SCDG,Methadone Oral Liquid Product,1161620,SCDG,66689089840,864978,
SCDG,Methadone Oral Product,1161621,SCDG,66689089840,864978,
SBDG,Diskets Oral Liquid Product,1990743,SBDG,66689089840,864978,
SBDG,Diskets Oral Product,1990744,SBDG,66689089840,864978,
SBDG,Methadose Oral Liquid Product,1185658,SBDG,66689089840,864978,
SBDG,Methadose Oral Product,1185659,SBDG,66689089840,864978,
,,,,879071550,,
BN,Actiq,215008,BN,55253007201,313992,
BPCK,,,,55253007201,313992,
GPCK,,,,55253007201,313992,
MIN,,,,55253007201,313992,
PIN,,,,55253007201,313992,
SBD,Fentanyl 0.6 MG Oral Lozenge [Actiq],261107,SBD,55253007201,313992,FENTANYL
SBDC,Fentanyl 0.6 MG [Actiq],574354,SBDC,55253007201,313992,FENTANYL
SBDF,Fentanyl Oral Lozenge [Actiq],367214,SBDF,55253007201,313992,FENTANYL
SCD,Fentanyl 0.6 MG Oral Lozenge,313992,SCD,55253007201,313992,FENTANYL
SCDF,Fentanyl Oral Lozenge,372161,SCDF,55253007201,313992,FENTANYL
SCDG,Fentanyl Oral Product,1159058,SCDG,55253007201,313992,FENTANYL
SCDG,Fentanyl Lozenge Product,1294774,SCDG,55253007201,313992,FENTANYL
SBDG,Actiq Oral Product,1169909,SBDG,55253007201,313992,
SBDG,Actiq Lozenge Product,1295970,SBDG,55253007201,313992,
,,,,55437011250,,
,,,,60793022753,,
BN,Duragesic,151678,BN,49884076452,245136,
BPCK,,,,49884076452,245136,
GPCK,,,,49884076452,245136,
MIN,,,,49884076452,245136,
PIN,,,,49884076452,245136,
SBD,72 HR Fentanyl 0.1 MG/HR Transdermal System [Duragesic],262071,SBD,49884076452,245136,FENTANYL
SBDC,Fentanyl 0.1 MG/HR [Duragesic],574656,SBDC,49884076452,245136,FENTANYL
SBDF,Fentanyl Transdermal System [Duragesic],1806275,SBDF,49884076452,245136,FENTANYL
SCD,72 HR Fentanyl 0.1 MG/HR Transdermal System,245136,SCD,49884076452,245136,FENTANYL
SCDF,Fentanyl Transdermal System,1806273,SCDF,49884076452,245136,FENTANYL
SCDG,Fentanyl Topical Product,1159060,SCDG,49884076452,245136,FENTANYL
SCDG,Fentanyl Transdermal Product,1294794,SCDG,49884076452,245136,FENTANYL
SBDG,Duragesic Topical Product,1168205,SBDG,49884076452,245136,
SBDG,Duragesic Transdermal Product,1296815,SBDG,49884076452,245136,
BN,MS Contin,203354,BN,52959018902,891874,
BPCK,,,,52959018902,891874,
GPCK,,,,52959018902,891874,
MIN,,,,52959018902,891874,
PIN,Morphine Sulfate,30236,PIN,52959018902,891874,MORPHINE
SBD,Morphine Sulfate 100 MG Extended Release Oral Tablet [MS Contin],892560,SBD,52959018902,891874,MORPHINE
SBDC,Morphine Sulfate 100 MG [MS Contin],892559,SBDC,52959018902,891874,MORPHINE
SBDF,Morphine Extended Release Oral Tablet [MS Contin],369896,SBDF,52959018902,891874,MORPHINE
SCD,Morphine Sulfate 100 MG Extended Release Oral Tablet,891874,SCD,52959018902,891874,MORPHINE
SCDF,Morphine Extended Release Oral Tablet,372960,SCDF,52959018902,891874,MORPHINE
SCDG,Morphine Oral Product,1156363,SCDG,52959018902,891874,MORPHINE
SCDG,Morphine Pill,1156364,SCDG,52959018902,891874,MORPHINE
SBDG,MS Contin Oral Product,1184943,SBDG,52959018902,891874,
SBDG,MS Contin Pill,1184944,SBDG,52959018902,891874,
BN,MS Contin,203354,BN,228434711,892646,
BPCK,,,,228434711,892646,
GPCK,,,,228434711,892646,
MIN,,,,228434711,892646,
PIN,Morphine Sulfate,30236,PIN,228434711,892646,MORPHINE
SBD,Morphine Sulfate 200 MG Extended Release Oral Tablet [MS Contin],892648,SBD,228434711,892646,MORPHINE
SBDC,Morphine Sulfate 200 MG [MS Contin],892647,SBDC,228434711,892646,MORPHINE
SBDF,Morphine Extended Release Oral Tablet [MS Contin],369896,SBDF,228434711,892646,MORPHINE
SCD,Morphine Sulfate 200 MG Extended Release Oral Tablet,892646,SCD,228434711,892646,MORPHINE
SCDF,Morphine Extended Release Oral Tablet,372960,SCDF,228434711,892646,MORPHINE
SCDG,Morphine Oral Product,1156363,SCDG,228434711,892646,MORPHINE
SCDG,Morphine Pill,1156364,SCDG,228434711,892646,MORPHINE
SBDG,MS Contin Oral Product,1184943,SBDG,228434711,892646,
SBDG,MS Contin Pill,1184944,SBDG,228434711,892646,
BN,MS Contin,203354,BN,54868505402,891893,
BPCK,,,,54868505402,891893,
GPCK,,,,54868505402,891893,
MIN,,,,54868505402,891893,
PIN,Morphine Sulfate,30236,PIN,54868505402,891893,MORPHINE
SBD,Morphine Sulfate 60 MG Extended Release Oral Tablet [MS Contin],894813,SBD,54868505402,891893,MORPHINE
SBDC,Morphine Sulfate 60 MG [MS Contin],894812,SBDC,54868505402,891893,MORPHINE
SBDF,Morphine Extended Release Oral Tablet [MS Contin],369896,SBDF,54868505402,891893,MORPHINE
SCD,Morphine Sulfate 60 MG Extended Release Oral Tablet,891893,SCD,54868505402,891893,MORPHINE
SCDF,Morphine Extended Release Oral Tablet,372960,SCDF,54868505402,891893,MORPHINE
SCDG,Morphine Oral Product,1156363,SCDG,54868505402,891893,MORPHINE
SCDG,Morphine Pill,1156364,SCDG,54868505402,891893,MORPHINE
SBDG,MS Contin Oral Product,1184943,SBDG,54868505402,891893,
SBDG,MS Contin Pill,1184944,SBDG,54868505402,891893,
BN,,,,43063014220,312289,
BPCK,,,,43063014220,312289,
GPCK,,,,43063014220,312289,
MIN,Naloxone / Pentazocine,214721,MIN,43063014220,312289,NALOXONE
PIN,,,,43063014220,312289,
SBD,,,,43063014220,312289,
SBDC,,,,43063014220,312289,
SBDF,,,,43063014220,312289,
SCD,Naloxone 0.5 MG / Pentazocine 50 MG Oral Tablet,312289,SCD,43063014220,312289,NALOXONE
SCDF,Naloxone / Pentazocine Oral Tablet,379297,SCDF,43063014220,312289,NALOXONE
SCDG,Naloxone / Pentazocine Oral Product,1156976,SCDG,43063014220,312289,NALOXONE
SCDG,Naloxone / Pentazocine Pill,1156977,SCDG,43063014220,312289,NALOXONE
SBDG,,,,43063014220,312289,
BN,,,,55289086360,892672,
BPCK,,,,55289086360,892672,
GPCK,,,,55289086360,892672,
MIN,,,,55289086360,892672,
PIN,Morphine Sulfate,30236,PIN,55289086360,892672,MORPHINE
SBD,,,,55289086360,892672,
SBDC,,,,55289086360,892672,
SBDF,,,,55289086360,892672,
SCD,Morphine Sulfate 30 MG Oral Tablet,892672,SCD,55289086360,892672,MORPHINE
SCDF,Morphine Oral Tablet,372959,SCDF,55289086360,892672,MORPHINE
SCDG,Morphine Oral Product,1156363,SCDG,55289086360,892672,MORPHINE
SCDG,Morphine Pill,1156364,SCDG,55289086360,892672,MORPHINE
SBDG,,,,55289086360,892672,
BN,,,,54868254101,997296,
BPCK,,,,54868254101,997296,
GPCK,,,,54868254101,997296,
MIN,,,,54868254101,997296,
PIN,Codeine sulfate,91104,PIN,54868254101,997296,CODEINE
SBD,,,,54868254101,997296,
SBDC,,,,54868254101,997296,
SBDF,,,,54868254101,997296,
SCD,Codeine sulfate 60 MG Oral Tablet,997296,SCD,54868254101,997296,CODEINE
SCDF,Codeine Oral Tablet,371613,SCDF,54868254101,997296,CODEINE
SCDG,Codeine Oral Product,1155185,SCDG,54868254101,997296,CODEINE
SCDG,Codeine Pill,1155186,SCDG,54868254101,997296,CODEINE
SBDG,,,,54868254101,997296,
,,,,68308014510,,
BN,Actiq,215008,BN,93787065,310294,
BPCK,,,,93787065,310294,
GPCK,,,,93787065,310294,
MIN,,,,93787065,310294,
PIN,,,,93787065,310294,
SBD,Fentanyl 1.6 MG Oral Lozenge [Actiq],261110,SBD,93787065,310294,FENTANYL
SBDC,Fentanyl 1.6 MG [Actiq],574357,SBDC,93787065,310294,FENTANYL
SBDF,Fentanyl Oral Lozenge [Actiq],367214,SBDF,93787065,310294,FENTANYL
SCD,Fentanyl 1.6 MG Oral Lozenge,310294,SCD,93787065,310294,FENTANYL
SCDF,Fentanyl Oral Lozenge,372161,SCDF,93787065,310294,FENTANYL
SCDG,Fentanyl Oral Product,1159058,SCDG,93787065,310294,FENTANYL
SCDG,Fentanyl Lozenge Product,1294774,SCDG,93787065,310294,FENTANYL
SBDG,Actiq Oral Product,1169909,SBDG,93787065,310294,
SBDG,Actiq Lozenge Product,1295970,SBDG,93787065,310294,
,,,,54378563,,
BN,Actiq,215008,BN,49884045955,310295,
BPCK,,,,49884045955,310295,
GPCK,,,,49884045955,310295,
MIN,,,,49884045955,310295,
PIN,,,,49884045955,310295,
SBD,Fentanyl 0.2 MG Oral Lozenge [Actiq],261106,SBD,49884045955,310295,FENTANYL
SBDC,Fentanyl 0.2 MG [Actiq],574353,SBDC,49884045955,310295,FENTANYL
SBDF,Fentanyl Oral Lozenge [Actiq],367214,SBDF,49884045955,310295,FENTANYL
SCD,Fentanyl 0.2 MG Oral Lozenge,310295,SCD,49884045955,310295,FENTANYL
SCDF,Fentanyl Oral Lozenge,372161,SCDF,49884045955,310295,FENTANYL
SCDG,Fentanyl Oral Product,1159058,SCDG,49884045955,310295,FENTANYL
SCDG,Fentanyl Lozenge Product,1294774,SCDG,49884045955,310295,FENTANYL
SBDG,Actiq Oral Product,1169909,SBDG,49884045955,310295,
SBDG,Actiq Lozenge Product,1295970,SBDG,49884045955,310295,
BN,MS Contin,203354,BN,43386054001,891881,
BPCK,,,,43386054001,891881,
GPCK,,,,43386054001,891881,
MIN,,,,43386054001,891881,
PIN,Morphine Sulfate,30236,PIN,43386054001,891881,MORPHINE
SBD,Morphine Sulfate 15 MG Extended Release Oral Tablet [MS Contin],892574,SBD,43386054001,891881,MORPHINE
SBDC,Morphine Sulfate 15 MG [MS Contin],892573,SBDC,43386054001,891881,MORPHINE
SBDF,Morphine Extended Release Oral Tablet [MS Contin],369896,SBDF,43386054001,891881,MORPHINE
SCD,Morphine Sulfate 15 MG Extended Release Oral Tablet,891881,SCD,43386054001,891881,MORPHINE
SCDF,Morphine Extended Release Oral Tablet,372960,SCDF,43386054001,891881,MORPHINE
SCDG,Morphine Oral Product,1156363,SCDG,43386054001,891881,MORPHINE
SCDG,Morphine Pill,1156364,SCDG,43386054001,891881,MORPHINE
SBDG,MS Contin Oral Product,1184943,SBDG,43386054001,891881,
